experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,rectangle_6,1,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08256983757019043,155,1608,689,158,1153,1,11,1,1,2,8,0,1488,3000,1412,2171,2171,0,46,202,242,242,689,689,0,158,158,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,2,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08335566520690918,175,1542,567,163,1270,0,0,0,0,0,0,0,1464,3000,1350,2139,2139,0,43,201,230,230,567,567,0,163,163,0,2010,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,3,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.07924747467041016,163,1617,749,91,1160,0,0,0,0,0,0,0,1506,3000,1418,2038,2038,0,50,201,241,241,749,749,0,91,91,0,2010,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,4,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08079409599304199,143,1632,695,243,1062,0,0,0,0,0,0,0,1446,3000,1465,2349,2349,0,40,201,234,234,695,695,0,243,243,0,2010,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,5,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08069038391113281,159,1576,740,200,1060,1,12,1,1,2,8,0,1530,3000,1494,2354,2354,0,53,202,243,243,740,740,0,200,200,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,6,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08377194404602051,176,1536,623,227,1150,1,9,0,1,2,8,0,1494,3000,1462,2421,2421,0,47,202,234,234,623,623,0,227,227,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,7,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.08316826820373535,175,1564,544,230,1226,1,13,1,1,2,8,0,1458,3000,1372,2279,2279,0,41,202,237,237,544,544,0,230,230,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,8,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.07871103286743164,142,1645,808,179,1013,1,9,0,1,2,8,0,1542,3000,1494,2257,2257,0,55,202,244,244,808,808,0,179,179,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,9,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.0798039436340332,162,1596,719,158,1123,1,9,0,1,2,8,0,1554,3000,1447,2158,2158,0,57,202,243,243,719,719,0,158,158,0,2020,"[0, 1, 2, 3, 4, 5]"
edge-memory-ana-final,edge_memory_ana,rectangle_6,10,10,200,0.1,0.1,0.001,10.0,10.0,0.0,True,True,0.07919192314147949,157,1602,782,171,1047,1,9,0,1,2,8,0,1548,3000,1483,2237,2237,0,56,202,243,243,782,782,0,171,171,0,2020,"[0, 1, 2, 3, 4, 5]"
