experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,use_candidate_lists,candidate_list_size,candidate_list_apply_to_2opt,candidate_list_apply_to_3opt,candidate_list_2opt_checks_skipped,candidate_list_2opt_checks_evaluated,candidate_list_3opt_reconnections_skipped,candidate_list_3opt_reconnections_evaluated,candidate_list_total_skipped,candidate_list_total_evaluated,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v12-lastest,v12,berlin52,1,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7721,7542,179,2.373375762397242,no,137.99590893700224,48405,84813,4,2213,177783,6,79916,244760,3,6,0,0,0,0,0,26803,150,True,15,True,True,24136,26803,74896,244760,99032,271563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238212,3978000,90799,179934,179934,0,1577,3004,8.173053458206365,98.65745773450266,4539,100.0,232573770,4539,179934,0,adaptive_memory_escape,mini_reconstruction,2213,2213,0,6639,0,2213,6639,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451635,"[0, 21, 17, 2, 16, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v12-lastest,v12,berlin52,2,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7788,7542,246,3.2617342879872715,no,166.4321601890042,48673,83734,39,2289,177672,6,102633,309457,3,6,0,0,0,0,0,29929,162,True,15,True,True,43343,29929,101071,309457,144414,339386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241852,3978000,90904,180465,180465,0,1647,3004,8.001406089981165,95.5084254564597,4555,100.0,233256660,4555,180465,0,adaptive_memory_escape,mini_reconstruction,2289,2289,0,6867,0,2289,6867,0,0,39,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519458,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v12-lastest,v12,berlin52,3,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7775,7542,233,3.0893662158578628,no,142.13053863999812,47927,85852,220,2238,177542,5,80317,239107,3,5,0,0,0,0,0,25012,146,True,15,True,True,27443,25012,82155,239107,109598,264119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248352,3978000,91189,180157,180157,0,1773,3003,8.101774665709883,95.8029218959019,4695,100.0,232662612,4695,180157,0,adaptive_memory_escape,mini_reconstruction,2238,2238,0,6714,0,2238,6714,0,0,220,220,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444189,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v12-lastest,v12,berlin52,4,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7715,7542,173,2.2938212675682843,no,98.22076003500115,47983,85096,7,1797,178196,2,39104,119429,0,2,0,0,0,0,0,26194,159,True,15,True,True,31040,26194,36987,119429,68027,145623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246844,3978000,91395,180914,180914,0,1744,3003,8.287660648621284,91.21664437246426,4648,100.0,233728716,4648,180914,0,adaptive_memory_escape,mini_reconstruction,1797,1797,0,5391,0,1797,5391,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325687,"[0, 21, 17, 30, 22, 19, 49, 15, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 43, 33, 34, 35, 48, 31]"
v12-lastest,v12,berlin52,5,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8122,7542,580,7.690267833465924,no,115.29153518100065,48146,85142,3,2172,177825,3,58603,179305,1,3,0,0,0,0,0,25744,156,True,15,True,True,35002,25744,55107,179305,90109,205049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221052,3978000,91054,180992,180992,0,1248,3003,8.286876969392058,104.14442074787836,4121,100.0,234530946,4121,180992,0,adaptive_memory_escape,mini_reconstruction,2172,2172,0,6516,0,2172,6516,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385115,"[0, 21, 30, 20, 41, 1, 6, 16, 2, 17, 44, 18, 40, 7, 8, 9, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 42, 14, 5, 4, 23, 47, 37, 39, 36, 45, 15, 28, 29, 22, 19, 49, 43, 33, 34, 35, 38, 48, 31]"
v12-lastest,v12,berlin52,6,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8051,7542,509,6.748872977989923,no,140.38002040199353,48058,85062,3,2103,177894,10,82413,254743,8,10,0,0,0,0,0,28991,177,True,15,True,True,38060,28991,74895,254743,112955,283734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234884,3978000,91215,181127,181127,0,1514,3003,8.297677295922211,97.30767362127126,4434,100.0,234294918,4434,181127,0,adaptive_memory_escape,mini_reconstruction,2103,2103,0,6309,0,2103,6309,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463814,"[0, 21, 17, 30, 20, 22, 19, 49, 29, 1, 6, 41, 16, 2, 44, 18, 40, 7, 8, 9, 32, 42, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 15, 45, 47, 23, 4, 5, 14, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
v12-lastest,v12,berlin52,7,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7735,7542,193,2.5590029169981436,no,101.76246437599912,48676,84001,78,2708,177214,4,47837,142055,3,4,0,0,0,0,0,19961,169,True,15,True,True,22378,19961,49287,142055,71665,162016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253448,3978000,91266,181348,181348,0,1872,3002,8.024602003484787,94.46567373227165,4761,100.0,234154362,4761,181348,0,adaptive_memory_escape,mini_reconstruction,2708,2708,0,8124,0,2708,8124,0,0,78,78,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342084,"[0, 21, 22, 30, 17, 2, 16, 20, 41, 6, 1, 29, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v12-lastest,v12,berlin52,8,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7800,7542,258,3.420843277645187,no,135.4178693799986,48044,84905,20,1925,178055,4,77887,237848,2,4,0,0,0,0,0,20226,127,True,15,True,True,24638,20226,73698,237848,98336,258074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235924,3978000,90980,180790,180790,0,1534,3003,8.281937128929021,101.93819901543228,4465,100.0,233806950,4465,180790,0,adaptive_memory_escape,mini_reconstruction,1925,1925,0,5775,0,1925,5775,0,0,20,20,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438142,"[0, 22, 29, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 2, 16, 6, 1, 41, 20, 30, 17, 21, 31, 48]"
v12-lastest,v12,berlin52,9,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8005,7542,463,6.138955184301246,no,96.26573770499817,48377,84542,14,1916,178070,2,39104,119888,0,2,0,0,0,0,0,18269,122,True,15,True,True,24790,18269,36528,119888,61318,138157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243360,3978000,90876,180249,180249,0,1677,3003,8.143515878691055,94.05929575198753,4577,100.0,232941072,4577,180249,0,adaptive_memory_escape,mini_reconstruction,1916,1916,0,5748,0,1916,5748,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318221,"[0, 21, 30, 20, 41, 1, 6, 16, 2, 17, 44, 18, 40, 7, 8, 9, 32, 42, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 22, 19, 49, 15, 43, 45, 47, 23, 4, 5, 14, 37, 36, 39, 38, 33, 34, 35, 48, 31]"
v12-lastest,v12,berlin52,10,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8039,7542,497,6.589763988332008,no,142.23043950300053,49173,82940,21,1890,178089,5,84666,260777,2,5,0,0,0,0,0,22000,156,True,15,True,True,27120,22000,77885,260777,105005,282777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250744,3978000,91228,180781,180781,0,1818,3004,8.41374535790191,100.9820832941515,4733,100.0,233439648,4733,180781,0,adaptive_memory_escape,mini_reconstruction,1890,1890,0,5670,0,1890,5670,0,0,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462847,"[0, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 43, 15, 49, 19, 22, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 28, 46, 25, 27, 11, 26, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
