rank,benchmark,candidate,accepted,score,number_of_runs,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,mean_fitness,median_fitness,standard_deviation,worst_fitness,best_gap_percent,mean_gap_percent,worst_gap_percent,success_count,success_percentage,mean_runtime_seconds,total_runtime_seconds
1,wi29,10,yes,17.7056841647647,10,14,9941,0.2060920102156552,0.005454214683864032,0.0006422851763081581,28921,32490.3,31895.0,2923.285140233691,36758,4.7748433141325215,17.7056841647647,33.166684780639784,0,0.0,4.2908407400129365,42.90840740012936
2,wi29,1,yes,17.95167191971887,10,19,6435,0.14300753857344375,0.008013189997835745,0.0008652410489519916,28692,32558.2,32339.0,2978.5618006010886,36936,3.9452233452885554,17.95167191971887,33.81154222367134,0,0.0,3.8172593499883076,38.17259349988308
3,wi29,4,no,21.03684382132377,10,18,6458,0.09711133773676912,0.010195564655701374,0.0006152179861406305,30036,33409.8,34131.0,2380.0401397175356,36924,8.81425931963917,21.03684382132377,33.76806868818607,0,0.0,3.1932114299968815,31.932114299968816
4,wi29,2,no,22.56964822664203,10,14,6829,0.09856871828410846,0.005300401150277756,0.0008037096179448483,28891,33832.9,32968.5,4758.488706161513,46028,4.666159475419338,22.56964822664203,66.74999094301344,0,0.0,2.7814602500060572,27.814602500060573
5,wi29,3,no,24.12165344346629,10,14,6751,0.12191070751410295,0.013262761186063841,0.000551935750887913,29714,34261.3,34839.0,3279.6438509217564,39571,7.647719450784335,24.12165344346629,43.35760605731261,0,0.0,2.6110597000108102,26.1105970001081
6,wi29,6,no,24.894033257254645,10,28,8984,0.19263845049006453,0.005628539951160166,0.0005569401221442756,31269,34474.5,35175.0,2083.761142741653,37469,13.281165090751005,24.894033257254645,35.74249175814223,0,0.0,7.146901760005858,71.46901760005858
7,wi29,0,yes,24.93062348295475,10,20,10000,0.1,0.01,0.001,29641,34484.6,34782.0,3163.4082955642075,39319,7.383255443248922,24.93062348295475,42.44466181212187,0,0.0,4.421331719961017,44.213317199610174
8,wi29,8,no,25.38890700286201,10,25,8484,0.10653102640224578,0.012080564210044276,0.000633352165306298,30917,34611.1,35487.5,2135.1127708962927,36897,12.005941383182988,25.38890700286201,33.670253233344205,0,0.0,4.911601230001542,49.11601230001543
9,wi29,7,no,26.95105604463283,10,27,6904,0.18551537869099008,0.005971344713988666,0.0008879944345737124,29693,35042.3,35785.5,3284.448678579439,39315,7.571640763685107,26.95105604463283,42.43017063362678,0,0.0,4.861970590020064,48.61970590020064
10,wi29,9,no,27.503169945295802,10,20,4850,0.15764833527851765,0.008175584870719585,0.0014330164271034276,30210,35194.7,35938.0,3098.081271798186,39483,9.444625584175633,27.503169945295802,43.038800130420604,0,0.0,2.7796420300146565,27.796420300146565
11,wi29,5,no,28.305256674999093,10,12,5570,0.23915886803983133,0.01356872121627962,0.0011322829479786887,29698,35416.1,36494.5,2797.200086197307,38661,7.589754736803971,28.305256674999093,40.06086294967938,0,0.0,1.943287319992669,19.43287319992669
