experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,1,27603,27603,0,0.0,yes,36.325474083998415,yes,20077,20077,0,0,3928,3928,0,3928,0,3928,3928,0,0,0,0,0,0,0,0.0,0,0,0,0,0,231155,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,2,27603,27603,0,0.0,yes,39.285931176000304,yes,20141,20141,0,0,3678,3678,0,3678,0,3678,3678,0,0,0,0,0,0,0,0.0,0,0,0,0,0,243238,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,3,27603,27603,0,0.0,yes,37.61772716300038,yes,20169,20169,0,0,3287,3287,0,3287,0,3287,3287,0,0,0,0,0,0,0,0.0,0,0,0,0,0,230208,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,4,28044,27603,441,1.5976524290837952,no,36.055368268000166,yes,27112,27112,0,0,3510,3510,0,3510,0,3510,3510,0,0,0,0,0,0,0,0.0,0,0,0,0,0,232060,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,5,28590,27603,987,3.575698293663732,no,38.35753173500052,yes,21021,21021,0,0,3718,3718,0,3718,0,3718,3718,0,0,0,0,0,0,0,0.0,0,0,0,0,0,246122,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,6,27603,27603,0,0.0,yes,35.93158413999845,yes,19739,19739,0,0,3630,3630,0,3630,0,3630,3630,0,0,0,0,0,0,0,0.0,0,0,0,0,0,221188,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,7,27603,27603,0,0.0,yes,34.86563518099865,yes,20755,20755,0,0,3693,3693,0,3693,0,3693,3693,0,0,0,0,0,0,0,0.0,0,0,0,0,0,217864,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,8,27603,27603,0,0.0,yes,36.240704403000564,yes,21512,21512,0,0,3695,3695,0,3695,0,3695,3695,0,0,0,0,0,0,0,0.0,0,0,0,0,0,234440,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,9,28084,27603,481,1.7425642140347064,no,37.08818762500232,yes,21820,21820,0,0,3989,3989,0,3989,0,3989,3989,0,0,0,0,0,0,0,0.0,0,0,0,0,0,231604,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v11-adaptiveA-caseB-memory-direction,wi29,adaptive_memory_escape,memory_direction,10,27603,27603,0,0.0,yes,37.47468451699751,yes,20888,20888,0,0,3954,3954,0,3954,0,3954,3954,0,0,0,0,0,0,0,0.0,0,0,0,0,0,241534,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
