experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
baseline_parameters_v1,v3,wi29,1,29,30,6666,0.15,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,10.40824410005007,6847,185854,173406,367,26207,2,9171,67,209183,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
baseline_parameters_v1,v3,wi29,2,29,30,6666,0.15,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,10.149134900071658,6788,186303,174563,217,25200,2,8260,58,208272,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v3,wi29,3,29,30,6666,0.15,0.01,0.0001,200010,28943,27603,1340,4.854544795855523,no,9.679027699981816,6593,186643,174828,391,24761,2,6521,51,206533,"[0, 1, 5, 9, 10, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
baseline_parameters_v1,v3,wi29,4,29,30,6666,0.15,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,9.676657399977557,6779,186313,174459,323,25198,2,10122,62,210134,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v3,wi29,5,29,30,6666,0.15,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,10.535029200022109,7549,184429,171275,322,28383,2,9350,60,209362,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v3,wi29,6,29,30,6666,0.15,0.01,0.0001,200010,29218,27603,1615,5.850813317393037,no,10.145805199979804,8232,183596,168781,580,30619,2,9107,62,209119,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 4]"
baseline_parameters_v1,v3,wi29,7,29,30,6666,0.15,0.01,0.0001,200010,27603,27603,0,0.0,yes,13.115776500082575,7338,184826,172043,314,27623,1,6457,45,206468,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v3,wi29,8,29,30,6666,0.15,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,10.260298699955456,8253,183486,169170,390,30420,1,6692,49,206703,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
baseline_parameters_v1,v3,wi29,9,29,30,6666,0.15,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,9.950321400072426,7542,184795,171688,314,27978,1,8118,53,208129,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v3,wi29,10,29,30,6666,0.15,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,10.16768180008512,7511,184815,171800,346,27834,1,6752,49,206763,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
