experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,total_fitness_evaluations,best_route
v6-first,v6,wi29,1,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,30.80332870699931,24859,148984,80422,8739,110819,4,8671,34681,2,4,0,0,0,0,0,10301,66,38066,5,30,26138,11893,5,20212,39713,0.16206896551724143,245000,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v6-first,v6,wi29,2,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,33.27881671099931,25645,147387,73841,11530,114609,3,8700,34800,0,3,0,0,0,0,0,8334,55,38579,5,30,25806,12738,5,20925,42271,0.17586206896551726,243150,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v6-first,v6,wi29,3,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,30.36789057400165,25615,148310,78330,8077,113573,2,5800,23200,0,2,0,0,0,0,0,5813,48,39203,5,24,27649,11525,5,20150,40731,0.1448275862068966,229027,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v6-first,v6,wi29,4,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28231,27603,628,2.2751150237293047,no,27.601855220998914,23924,152095,87749,6474,105757,3,4363,17449,2,3,0,0,0,0,0,6958,47,34955,5,23,24587,10340,5,18788,37248,0.15517241379310348,224423,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 4]"
v6-first,v6,wi29,5,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,28.88461934299994,25723,147408,79531,8222,112227,2,4416,17663,1,2,0,0,0,0,0,9425,71,37994,5,23,26489,11477,5,20134,40104,0.16896551724137934,227102,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v6-first,v6,wi29,6,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,30.67357070899925,25581,147722,80137,8221,111622,3,7506,30023,1,3,0,0,0,0,0,9522,71,37974,5,27,26604,11338,5,20092,40083,0.15862068965517245,239561,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v6-first,v6,wi29,7,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,30.131214317998456,25825,146706,76930,10452,112598,2,5800,23200,0,2,0,0,0,0,0,8638,52,39692,5,28,26455,13204,5,20668,40946,0.15517241379310348,231852,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v6-first,v6,wi29,8,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,27.829103886000667,25737,148087,80445,8938,110597,1,2900,11600,0,1,0,0,0,0,0,8270,58,38644,5,19,26945,11675,5,20201,39532,0.1517241379310345,219882,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v6-first,v6,wi29,9,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,31.504644654000003,22538,153376,70180,15083,114717,3,7687,30747,1,3,0,0,0,0,0,9472,54,31995,5,30,22148,9812,5,21747,43242,0.1931034482758621,240235,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v6-first,v6,wi29,10,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,29.806213890000436,23758,152086,89355,7118,103507,3,7687,30747,1,3,0,0,0,0,0,10601,59,35474,5,22,24606,10841,5,18345,36993,0.18275862068965518,241364,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
